"","Region","Item Code",".model","Yearmonth","Volume",".mean"
"313","BRI","1239","ETS",2024 May,N(736, 70897),735.998353849308
"314","BRI","1239","ETS",2024 Jun,N(753, 70897),753.262123857997
"315","BRI","1239","ETS",2024 Jul,N(771, 70897),770.525893866687
"316","BRI","1239","ETS",2024 Aug,N(788, 70897),787.789663875376
"317","BRI","1239","ETS",2024 Sep,N(805, 70897),805.053433884066
"318","BRI","1239","ETS",2024 Oct,N(822, 70897),822.317203892755
"319","BRI","1239","ARIMA",2024 May,N(650, 78958),649.533587788482
"320","BRI","1239","ARIMA",2024 Jun,N(650, 84576),649.533587788482
"321","BRI","1239","ARIMA",2024 Jul,N(650, 90195),649.533587788482
"322","BRI","1239","ARIMA",2024 Aug,N(650, 95814),649.533587788482
"323","BRI","1239","ARIMA",2024 Sep,N(650, 1e+05),649.533587788482
"324","BRI","1239","ARIMA",2024 Oct,N(650, 107052),649.533587788482
"325","BRI","1246","ETS",2024 May,N(785, 814162),785.13742520973
"326","BRI","1246","ETS",2024 Jun,N(785, 935244),785.13742520973
"327","BRI","1246","ETS",2024 Jul,N(785, 1056327),785.13742520973
"328","BRI","1246","ETS",2024 Aug,N(785, 1177409),785.13742520973
"329","BRI","1246","ETS",2024 Sep,N(785, 1298492),785.13742520973
"330","BRI","1246","ETS",2024 Oct,N(785, 1419574),785.13742520973
"331","BRI","1246","ARIMA",2024 May,N(49, 715112),48.9732840868322
"332","BRI","1246","ARIMA",2024 Jun,N(826, 913552),826.425062511644
"333","BRI","1246","ARIMA",2024 Jul,N(826, 913552),826.425062511644
"334","BRI","1246","ARIMA",2024 Aug,N(826, 913552),826.425062511644
"335","BRI","1246","ARIMA",2024 Sep,N(826, 913552),826.425062511644
"336","BRI","1246","ARIMA",2024 Oct,N(826, 913552),826.425062511644
"337","BRI","1247","ETS",2024 May,N(1051, 738506),1050.66671627457
"338","BRI","1247","ETS",2024 Jun,N(1051, 743626),1050.66671627457
"339","BRI","1247","ETS",2024 Jul,N(1051, 748747),1050.66671627457
"340","BRI","1247","ETS",2024 Aug,N(1051, 753868),1050.66671627457
"341","BRI","1247","ETS",2024 Sep,N(1051, 758988),1050.66671627457
"342","BRI","1247","ETS",2024 Oct,N(1051, 764109),1050.66671627457
"343","BRI","1247","ARIMA",2024 May,N(828, 712792),827.93023255814
"344","BRI","1247","ARIMA",2024 Jun,N(828, 712792),827.93023255814
"345","BRI","1247","ARIMA",2024 Jul,N(828, 712792),827.93023255814
"346","BRI","1247","ARIMA",2024 Aug,N(828, 712792),827.93023255814
"347","BRI","1247","ARIMA",2024 Sep,N(828, 712792),827.93023255814
"348","BRI","1247","ARIMA",2024 Oct,N(828, 712792),827.93023255814
"349","BRI","1248","ETS",2024 May,N(312, 33219),312.43536124999
"350","BRI","1248","ETS",2024 Jun,N(312, 34647),312.43536124999
"351","BRI","1248","ETS",2024 Jul,N(312, 36075),312.43536124999
"352","BRI","1248","ETS",2024 Aug,N(312, 37502),312.43536124999
"353","BRI","1248","ETS",2024 Sep,N(312, 38930),312.43536124999
"354","BRI","1248","ETS",2024 Oct,N(312, 40358),312.43536124999
"355","BRI","1248","ARIMA",2024 May,N(291, 31426),290.917885439696
"356","BRI","1248","ARIMA",2024 Jun,N(226, 33947),226.035563085698
"357","BRI","1248","ARIMA",2024 Jul,N(208, 34150),207.659114264593
"358","BRI","1248","ARIMA",2024 Aug,N(202, 34166),202.454401192945
"359","BRI","1248","ARIMA",2024 Sep,N(201, 34167),200.980284054106
"360","BRI","1248","ARIMA",2024 Oct,N(201, 34167),200.562773749676
"361","BRI","1255","ETS",2024 May,N(107, 14680),106.5814778731
"362","BRI","1255","ETS",2024 Jun,N(107, 14680),106.5814778731
"363","BRI","1255","ETS",2024 Jul,N(107, 14680),106.5814778731
"364","BRI","1255","ETS",2024 Aug,N(107, 14680),106.5814778731
"365","BRI","1255","ETS",2024 Sep,N(107, 14680),106.5814778731
"366","BRI","1255","ETS",2024 Oct,N(107, 14680),106.5814778731
"367","BRI","1255","ARIMA",2024 May,N(197, 11997),196.722121106858
"368","BRI","1255","ARIMA",2024 Jun,N(235, 11997),234.68796307567
"369","BRI","1255","ARIMA",2024 Jul,N(182, 11997),181.535784319334
"370","BRI","1255","ARIMA",2024 Aug,N(125, 11997),124.587021366117
"371","BRI","1255","ARIMA",2024 Sep,N(83, 11997),82.8245952004244
